#{"t_start": 1780884500.3209403, "env_id": "None"}
r,l,t,success,completed_targets,collision_count,remaining_battery,done_reason
35.53,25,31.260263,True,2,5,10.0,success
-2.334,48,31.294026,False,2,13,0.0,battery_out
43.148,34,31.317699,True,2,0,1.0,success
14.074,47,31.350269,False,3,7,0.0,battery_out
21.472,41,31.378718,False,3,1,0.0,battery_out
-9.67,35,31.402104,False,1,9,0.0,battery_out
-11.278,41,31.428778,False,1,10,0.0,battery_out
-19.2,35,31.452404,False,1,19,0.0,battery_out
3.41,40,31.474292,False,2,9,0.0,battery_out
-14.77,35,31.495718,False,1,14,0.0,battery_out
3.776,38,31.518031,False,2,7,0.0,battery_out
-0.02,35,31.538843,False,1,0,0.0,battery_out
41.62,20,31.550873,True,2,0,15.0,success
10.47,35,31.572262,False,2,1,0.0,battery_out
8.95,35,31.592728,False,2,1,0.0,battery_out
39.492,16,31.603054,True,2,1,19.0,success
8.44,35,32.482486,False,2,3,0.0,battery_out
10.99,35,32.508499,False,2,0,0.0,battery_out
-5.742,49,32.546876,False,2,15,0.0,battery_out
9.82,35,32.573528,False,2,1,0.0,battery_out
10.01,35,32.603525,False,2,1,0.0,battery_out
-15.908,41,32.635556,False,1,15,0.0,battery_out
23.524,37,32.667433,False,3,1,0.0,battery_out
1.562,36,32.692593,False,2,8,0.0,battery_out
0.74,35,32.720043,False,2,11,0.0,battery_out
6.49,35,32.744052,False,2,4,0.0,battery_out
1.258,54,32.781658,False,3,20,0.0,battery_out
19.216,48,32.815395,False,3,4,0.0,battery_out
42.088,24,32.831145,True,2,0,11.0,success
10.95,35,32.85533,False,2,2,0.0,battery_out
22.12,35,32.879209,False,3,0,0.0,battery_out
7.802,36,32.90419,False,2,3,0.0,battery_out
40.156,28,32.923863,True,2,2,7.0,success
1.21,35,32.948996,False,1,0,0.0,battery_out
6.808,44,32.979157,False,3,15,0.0,battery_out
-9.47,35,33.001545,False,1,10,0.0,battery_out
19.822,41,33.026316,False,3,4,0.0,battery_out
10.336,38,33.053241,False,2,3,0.0,battery_out
2.412,41,33.080244,False,2,8,0.0,battery_out
48.368,24,33.09505,True,3,3,11.0,success
24.138,44,33.123021,False,3,0,0.0,battery_out
3.67,35,33.144213,False,2,8,0.0,battery_out
7.372,36,33.165318,False,2,4,0.0,battery_out
23.52,35,33.887789,False,3,0,0.0,battery_out
0.74,40,33.921593,False,1,0,0.0,battery_out
5.98,35,33.949484,False,2,6,0.0,battery_out
53.04,30,33.974256,True,3,1,5.0,success
8.054,37,34.002418,False,2,3,0.0,battery_out
-1.186,47,34.037863,False,1,2,0.0,battery_out
-13.948,36,34.065135,False,0,3,0.0,battery_out
-0.654,38,34.092983,False,1,2,0.0,battery_out
10.13,40,34.118248,False,2,0,0.0,battery_out
21.52,35,34.140362,False,3,1,0.0,battery_out
-9.172,39,34.164983,False,1,10,0.0,battery_out
-15.624,43,34.189776,False,1,14,0.0,battery_out
7.86,35,34.211065,False,2,3,0.0,battery_out
5.788,44,34.23543,False,2,6,0.0,battery_out
-10.446,37,34.256109,False,1,9,0.0,battery_out
10.78,35,34.273989,False,2,0,0.0,battery_out
40.844,22,34.286408,True,2,1,13.0,success
-21.75,35,34.304374,False,1,20,0.0,battery_out
10.94,35,34.323225,False,2,0,0.0,battery_out
-5.05,35,34.340841,False,1,5,0.0,battery_out
47.574,37,34.361278,True,3,5,0.0,success
-3.69,35,34.379224,False,2,14,0.0,battery_out
10.22,35,34.398752,False,2,1,0.0,battery_out
41.474,32,34.415231,True,2,2,3.0,success
52.844,22,34.426441,True,3,0,13.0,success
41.166,33,34.443595,True,2,2,2.0,success
-32.682,39,34.462674,False,1,29,0.0,battery_out
