#{"t_start": 1780881969.2482378, "env_id": "None"}
r,l,t,success,completed_targets,collision_count,remaining_battery,done_reason
29.76,24,46.44123,True,1,0,76.0,success
29.75,25,46.458539,True,1,0,75.0,success
29.76,24,46.473996,True,1,0,76.0,success
27.74,26,46.490356,True,1,2,74.0,success
29.7,30,46.509191,True,1,0,70.0,success
28.71,29,47.712374,True,1,1,71.0,success
29.76,24,47.75262,True,1,0,76.0,success
29.69,31,47.80428,True,1,0,69.0,success
29.76,24,47.843042,True,1,0,76.0,success
29.76,24,47.876537,True,1,0,76.0,success
28.71,27,47.911129,True,1,1,73.0,success
29.75,25,47.957232,True,1,0,75.0,success
28.75,25,48.001169,True,1,1,75.0,success
29.73,27,48.061961,True,1,0,73.0,success
29.75,25,48.109303,True,1,0,75.0,success
29.75,25,48.159583,True,1,0,75.0,success
28.75,25,48.20509,True,1,1,75.0,success
28.73,27,48.253124,True,1,1,73.0,success
29.76,24,48.2879,True,1,0,76.0,success
29.74,26,48.339939,True,1,0,74.0,success
29.74,26,48.37953,True,1,0,74.0,success
29.74,26,48.414266,True,1,0,74.0,success
28.75,25,48.454848,True,1,1,75.0,success
29.75,25,48.476923,True,1,0,75.0,success
29.76,24,48.50378,True,1,0,76.0,success
28.75,25,48.522317,True,1,1,75.0,success
28.75,25,48.544526,True,1,1,75.0,success
29.73,25,48.579908,True,1,0,75.0,success
29.76,24,48.601105,True,1,0,76.0,success
28.73,27,48.625267,True,1,1,73.0,success
26.71,29,48.647939,True,1,3,71.0,success
29.76,24,48.67062,True,1,0,76.0,success
28.75,25,48.690603,True,1,1,75.0,success
29.75,25,48.711959,True,1,0,75.0,success
29.76,24,48.735023,True,1,0,76.0,success
28.73,27,48.772002,True,1,1,73.0,success
28.74,26,48.800471,True,1,1,74.0,success
29.76,24,48.845766,True,1,0,76.0,success
29.76,24,48.865345,True,1,0,76.0,success
29.76,24,48.890601,True,1,0,76.0,success
29.76,24,48.909679,True,1,0,76.0,success
27.72,28,48.941208,True,1,2,72.0,success
29.76,24,48.964643,True,1,0,76.0,success
